iter	Passed	Remaining
406	6746	26405
407	6766	26404
408	6784	26390
409	6804	26387
410	6823	26382
411	6841	26369
412	6861	26366
413	6879	26356
414	6896	26341
415	6918	26342
416	6937	26334
417	6958	26336
418	6977	26326
419	6998	26328
420	7019	26327
421	7042	26334
422	7058	26316
423	7080	26316
424	7099	26310
425	7117	26296
426	7137	26292
427	7157	26288
428	7175	26275
429	7194	26266
430	7210	26249
431	7231	26248
432	7252	26245
433	7270	26234
434	7290	26229
435	7308	26215
436	7326	26204
437	7345	26195
438	7363	26183
439	7380	26166
440	7399	26156
441	7415	26139
442	7432	26124
443	7450	26111
444	7468	26098
445	7483	26076
446	7504	26071
447	7523	26063
448	7543	26056
449	7563	26050
450	7583	26045
451	7602	26038
452	7622	26032
453	7641	26021
454	7662	26018
455	7678	26000
456	7695	25981
457	7716	25980
458	7737	25978
459	7759	25976
460	7781	25977
461	7802	25973
462	7823	25971
463	7841	25957
464	7859	25946
465	7878	25933
466	7898	25926
467	7916	25914
468	7935	25906
469	7952	25888
470	7972	25880
471	7990	25868
472	8007	25849
473	8026	25841
474	8046	25834
475	8067	25831
476	8088	25824
477	8105	25808
478	8122	25792
479	8141	25780
480	8161	25772
481	8177	25754
482	8197	25747
483	8218	25740
484	8236	25729
485	8255	25718
486	8275	25709
487	8293	25697
488	8311	25681
489	8330	25672
490	8351	25667
491	8369	25652
492	8389	25646
493	8410	25638
494	8428	25627
495	8446	25612
496	8463	25594
497	8485	25592
498	8506	25587
499	8530	25590
500	8547	25572
501	8565	25559
502	8585	25552
503	8608	25552
504	8626	25539
505	8645	25525
506	8664	25514
507	8685	25509
508	8703	25493
509	8722	25482
510	8742	25473
511	8763	25470
512	8782	25457
513	8800	25441
514	8819	25431
515	8838	25418
516	8855	25401
517	8876	25395
518	8895	25383
519	8911	25363
520	8933	25359
521	8950	25342
522	8967	25324
523	8990	25323
524	9009	25313
525	9029	25303
526	9046	25285
527	9063	25268
528	9086	25266
529	9104	25253
530	9123	25239
531	9144	25231
532	9161	25216
533	9178	25197
534	9199	25191
535	9218	25179
536	9235	25160
537	9253	25147
538	9271	25131
539	9290	25119
540	9307	25100
541	9325	25085
542	9344	25074
543	9361	25054
544	9383	25050
545	9403	25041
546	9422	25029
547	9441	25016
548	9463	25011
549	9482	25000
550	9504	24994
551	9522	24979
552	9542	24969
553	9563	24962
554	9582	24949
555	9602	24937
556	9621	24926
557	9642	24917
558	9660	24902
559	9679	24889
560	9698	24876
561	9716	24861
562	9736	24851
563	9758	24845
564	9776	24829
565	9794	24813
566	9810	24794
567	9828	24779
568	9848	24769
569	9867	24755
570	9888	24747
571	9907	24732
572	9926	24719
573	9943	24703
574	9962	24688
575	9978	24669
576	9997	24655
577	10018	24648
578	10040	24642
579	10058	24627
580	10078	24615
581	10099	24605
582	10117	24591
583	10138	24582
584	10155	24564
585	10174	24551
586	10193	24537
587	10210	24518
588	10224	24494
589	10246	24487
590	10265	24474
591	10284	24460
592	10304	24448
593	10324	24437
594	10344	24426
595	10362	24410
596	10378	24389
597	10396	24375
598	10416	24363
599	10437	24355
600	10454	24336
601	10471	24317
602	10493	24311
603	10511	24294
604	10530	24280
605	10550	24268
606	10567	24250
607	10587	24239
608	10608	24231
609	10626	24214
610	10646	24202
611	10665	24188
612	10681	24168
613	10700	24153
614	10717	24135
615	10735	24119
616	10750	24097
617	10767	24079
618	10789	24070
619	10806	24054
620	10825	24038
621	10841	24019
622	10861	24007
623	10880	23993
624	10898	23975
625	10918	23963
626	10938	23953
627	10955	23935
628	10973	23919
